국가코드,DB종류,특허/실용 구분,문헌종류 코드,발명의 명칭,요약,대표청구항,청구항 수,출원번호,출원일,공개번호/공표/재공표 ,공개일,등록번호,등록일,출원인,출원인 국적,출원인 수,출원인 대표명화 코드,출원인 대표명화 영문명,출원인 대표명화 국문명[KR],출원인 식별기호[JP],발명자/고안자,우선권 번호,우선권 국가,우선권 주장일,국제 공개번호,국제 공개일,Original CPC Main,Original CPC All,Original IPC Main,Original IPC All,Original US Class Main[US],Original US Class All[US],Original FI[JP],Original F-term[JP],Original Theme Code [JP],WIPS ON key
US,US,P,A1,AUTOMATIC GRAMMAR BASED FAULT DETECTION AND ISOLATION,"The present disclosure relates to automated testing of hardware and software systems. In some embodiments, a testing framework that generates a set of test cases for a system under test using a grammar is disclosed. The grammar may include terminal and nonterminal symbols with tags that describe a test sequence. The testing framework can use the grammar to generate a set of test cases. The testing framework can then receive feedback about the execution of the set of test cases from the system under test. In response to the feedback, the testing framework can generate a new set of grammars by automatically modifying or inserting tags in the original grammar. The new set of grammars can then be used to generate further test cases that intelligently explore the system under test for correctness, conformance, performance, security, or reliability.","1. A system for automating testing of control devices, the system comprising: a computer memory that stores a grammar comprising one or more terminal and nonterminal symbols with tags that describe a set of test cases; and a processor that generates the set of test cases for a device under test using the grammar, receives feedback about the execution of the set of test cases from the device under test, and in response to the feedback, automatically modifies the set of test cases as a function of the feedback.",20,12/247157,2008-10-07,2009-0204848,2009-08-13,,,,,0,,,,,Nathan John Walter Kube | Daniel Malcolm Hoffman,,,,,,,,G06F-011/07,G06F-011/07,714/025,714/025 | 714/E11.24,,,,5.41E+12
US,US,P,B2,Synchronized stamp applicator machine and method of operating the same,"Apparatus and method for applying tax stamps to individual cigarette packages of different cigarette cartons having different height dimensions comprises a cigarette carton height determination station at which the height dimension of a particular cigaratte carton is determined. Such height dimension data is transmitted to a programmable logic controller (PLC), and the programmable logic controller (PLC) controls a single servo motor and linear actuator assembly, operatively connected to a support surface along which the cartons are movably disposed, so as to control the elevational level of the support surface whereby the cigarette cartons are always disposed at the proper elevational level with respect to various implements located at different operational stations.","1. Apparatus for applying tax stamps onto cigarette packages disposed within cigarette cartons which have predeterminedly different height dimensions, comprising: a plurality of operational stations, longitudinally spaced from each other along a longitudinally extending processing line, respectively comprising a plurality of operational components for respectively performing a plurality of operations upon each one of a plurality of cigarette cartons having the different height dimensions; means defining a support surface, extending along said longitudinally extending processing line, upon which the plurality of cigarette cartons, having the different height dimensions, are adapted to be movably supported; conveyor means for serially conveying the plurality of cigarette cartons, having the different height dimensions, along said support surface in an intermittent cyclic manner for permitting each one of the plurality of cigarette cartons, having the different height dimensions, to be periodically stopped at each one of the plurality of operational stations such that each one of said plurality of operational components disposed at each one of said plurality of operational stations can respectively perform its operations upon each one of the plurality of cigarette cartons having the different height dimensions; a contact member movably disposed at a cigarette carton height determination station for movement into engagement with an upper surface portion of a particular one of the plurality of cigarette cartons, having the different height dimensions, when the particular one of the plurality of cigarette cartons, having the different height dimensions, is disposed at said cigarette carton height determination station; sensor means, disposed at said cigarette carton height determination station, for sensing the distance of said contact member, disposed in contact with the upper surface portion of the particular one of the plurality of different cigarette cartons, having the different height dimensions, which is disposed at said cigarette carton height determination station, from said sensor means and therefore for determining the particular height dimension of the particular one of the plurality of cigarette cartons, having the different height dimensions, disposed at said cigarette carton height determination station, and for generating data indicative of the particular height dimension of the particular one of the plurality of different cigarette cartons, having the different height dimensions, which is disposed at said cigarette carton height determination station; single actuator means for adjusting the elevational disposition of said means defining said support surface upon which the plurality of cigarette cartons, having the different height dimensions, are adapted to be movably supported as the plurality of cigarette cartons, having the different height dimensions, are conveyed along said processing line from one of said plurality of operational stations to another one of said plurality of operational stations; and control means for receiving said height dimension data from said sensor means for determining the particular height dimension of the particular one of the plurality of different cigarette cartons, having the different height dimensions, which is disposed at said cigarette carton height determination station, and for controlling said single actuator means so as to adjust the elevational disposition of said means defining said support surface, upon which the plurality of different cigarette cartons, having the different height dimensions, are adapted to be movably supported as the plurality of different cigarette cartons, having the different height dimensions, are conveyed along said processing line from one of said plurality of operational stations to another one of said plurality of operational stations, in accordance with said height dimension data, as determined by said sensor means disposed at said cigarette carton height determination station, characteristic of the particular one of the plurality of different cigarette cartons, having the different height dimensions, disposed at said cigarette carton height determination station, such that the plurality of different cigarette cartons, having the different height dimensions, are always disposed at predeterminedly correct elevational levels with respect to said plurality of operational components respectively disposed at said plurality of operational stations whereby said operational components respectively disposed at said plurality of operational stations can properly perform their operations upon the plurality of different cigarette cartons, having the different height dimensions, regardless of the particular height dimension of the particular one of the plurality of different cigarette cartons having the different height dimensions.",39,10/246277,2002-09-18,2004-0045676,2004-03-11,7568511,2009-08-04,Illinois Tool Works Inc.,US,1,UN000205,ILLINOIS TOOL WORKS,,,Andrzej Chojnacki | Krzysztof P. Biernat,,,,,,,,B32B-036/00,B32B-036/00 | B32B-041/00 | B65C-009/06 | B65C-009/18,156/360,156/360 | 156/541 | 156/DIG.2 | 156/DIG.3 | 156/DIG.4 | 053/504 | 053/382.1 | 053/383.1,,,,4.91E+12
US,US,P,B2,Operational support system for telecommunication services,"In a particular embodiment, the disclosure is directed to a distributed communications system for use in support of telecommunication operations. The distributed computer system includes a telecommunications related application service and an integration service. The telecommunications related application service has access to a plurality of interconnection services and a plurality of different computing nodes. The integration service is coupled to the telecommunications related application services. The integration service is also coupled to a plurality of distributed resource systems. The integration service has access to at least one of the plurality of distributed resource systems in response to a communication transmitted to at least one of the plurality of interconnection services.","1. A distributed computer system in support of telecommunication operations, the distributed computer system comprising: a telecommunications related application service adapted to receive customer service requests via a plurality of communication interfaces; a server system having processing logic and memory accessible to the processing logic, wherein the memory stores an integration services application that includes: an interface layer including a plurality of communication adapters; a logic layer including a first interface and having access to a rules engine; an object layer including a second interface, a transformation service, and an object; and a resource layer including a plurality of resource interface modules, at least one of the plurality of resource interface modules having access to a plurality of diverse resource systems, at least one of the plurality of resource interface modules configured to receive a first data item from one of the plurality of diverse resource systems, wherein the transformation service is adapted to transform the first data item into the object, and wherein the logic layer has access to the object and is adapted to provide a second data item to the telecommunications related application service through at least one of the plurality of communication interfaces; wherein the interface layer, the logic layer, the object layer and the resource layer are integrated via a plurality of reusable infrastructure modules; and wherein the telecommunications related application service communicates with the integration services application via a plurality of infrastructure interfaces adapted to access the plurality of reusable infrastructure modules.",15,10/402361,2003-03-31,2004-0192205,2004-09-30,7568020,2009-07-28,"AT&T Intellectual Property I, L.P.",US,1,EN001897,AT &AMP; T INTELLECTUAL PROPER,,,Denis L. Bagsby,,,,,,,,G06F-015/173,G06F-015/173 | G06F-003/00,709/223,709/223 | 719/330,,,,4.91E+12
US,US,P,B2,Control of tasks in a programmable logic controller,"System and method for modifying properties of tasks on a programmable logic controller. Input specifying modification of a property of a task included in a programmable logic controller (PLC) may be received. The property of the task may be modified based on the input, and the task may halt or continue to execute in accordance with the modified property. The modification may enable, disable, modify the rate of, modify the priority of, and/or modify properties of programs included in the task, among others. Modifying the programs may include changing the program execution order. When enabling or disabling the task, the input may be received from another task executing on the PLC. For at least some property modifications, the input may be received from one or more of a program included in the task, another executing task, a host computer system, and a user of the host computer system, among others.","1. A method for modifying properties of tasks on a programmable logic controller, the method comprising: receiving first input specifying a modification of a first property of a task executing on a programmable logic controller (PLC), wherein the task comprises one or more programs, and wherein one or more other tasks are executing on the PLC; modifying the first property of the task during said executing based on the input, wherein the first property comprises a priority of the task, and wherein the priority specifies resource allocation for the task with respect to the one or more other tasks executing on the PLC; and the task continuing to execute in accordance with the modified first property, wherein the task is not halted during said modifying.",28,11/329770,2006-01-10,2007-0162157,2007-07-12,7568198,2009-07-28,National Instruments Corporation,US,1,EN005398,NAT INSTR CORP,,,Sundeep Chandhoke,,,,,,,,G06F-009/48,G06F-009/48 | G05B-011/01 | G05B-019/42 | G06F-003/048,718/103,718/103 | 718/104 | 700/023 | 700/086 | 715/771,,,,4.91E+12
US,US,P,B2,Programmatic control of tasks in a programmable logic controller,"System and method for modifying properties of tasks on a programmable logic controller. Input specifying modification of a property of a task included in a programmable logic controller (PLC) may be received. The property of the task may be modified based on the input, and the task may halt or continue to execute in accordance with the modified property. The modification may enable, disable, modify the rate of, modify the priority of, and/or modify properties of programs included in the task, among others. Modifying the programs may include changing the program execution order. When enabling or disabling the task, the input may be received from another task executing on the PLC. For at least some property modifications, the input may be received from one or more of a program included in the task, another executing task, a host computer system, and a user of the host computer system, among others.","1. A method for modifying properties of tasks on a programmable logic controller, the method comprising: a first task executing on a programmable logic controller (PLC) modifying a first property of a second task on the PLC, wherein the first and second task are comprised in a plurality of tasks, wherein the first property comprises a priority of the second task, and wherein the priority specifies resource allocation for the second task with respect to the plurality of tasks; and the first task continuing to execute on the PLC.",28,11/329788,2006-01-10,2007-0162906,2007-07-12,7565654,2009-07-21,National Instruments Corporation,US,1,EN005398,NAT INSTR CORP,,,Sundeep Chandhoke,,,,,,,,G06F-009/46,G06F-009/46 | G06F-003/048 | G05B-011/01 | G05B-019/42,718/103,718/103 | 718/104 | 700/023 | 700/086 | 715/771,,,,4.91E+12
US,US,P,B2,System and method for universal extensibility that supports a plurality of programmable logic controllers,"A method and system is provided for creating applications for one or more types of programmable logic controllers (PLCs). A open development kit (ODK) is provided that permits dynamic link libraries to be created and interfaced to a user application software and also to the interface layers of the various types of PLCs. The types of PLCs may include soft PLCs, slot PLCs, and hard PLCs and interface via slots of a personal computer platform. The ODK provides generic interfacing to the various types of PLCs and establishes the necessary operating environment structure to implement processing in either a non-real time and a real time mode. A single application package may then control and manage the various types of PLCs. Communication paths are provided from the PLCs to the ODK subsystem to the user application so that the application software is essentially indifferent to type of PLC involved.","1. A method of providing an open development kit (ODK) subsystem, the method comprising the steps of: executing a programmable logic controller (PLC) application program in the ODK subsystem, wherein the ODK subsystem having a virtual CPU, the virtual CPU executing the PLC program in a real-time operating environment and executing one or more extensions, the one or more extensions providing access into a scan cycle of the PLC program and replaceable functionality to the operation of the PLC program; sending a specific formatted load application request message from the PLC program to the ODK subsystem; converting at the ODK subsystem the specific formatted load application request message to a generic formatted load request message; sending the generic formatted load request message from the ODK subsystem to an application for requesting the one or more extensions to be loaded by the application; and requesting execution of the application, including checking whether there are requests for application execution in the PLC program and, if so, sending a specific formatted execution request from the PLC program to the ODK subsystem, converting the specific formatted execution request to a generic execution request, and sending the generic execution request from the ODK subsystem to the application, the application comprising an Application Wizard, the Application Wizard providing a first mode and a second mode; checking whether any requests for information are waiting in the application and, if so, requesting information from the PLC program by the application; executing a function in the ODK subsystem specified by the application; performing a task in the PLC program associated with the executed function in the ODK subsystem; returning a specific formatted response from the PLC program to the ODK subsystem, the ODK subsystem converting the specific formatted response to a generic response; and returning the generic response from the ODK subsystem to the application, the ODK subsystem comprising an ODK Real-Time (RTX) Proxy Dynamic Link Library (DLL) usable in the deterministic environment, the ODK RTX Proxy DLL communicating through shared memory with an ODK System Block (SB) Add-on DLL in the non-deterministic environment, wherein, in the first mode, the Application Wizard generates a Real Time Dynamic Link Library project that is usable in a deterministic environment with fixed scan cycles, and in the second mode, the Application Wizard generates a Dynamic Link Library project that is usable in a non-deterministic environment with non-fixed scan cycles, and the deterministic environment is a WinAC RTX environment.",32,10/666425,2003-09-19,2004-0098141,2004-05-20,7565660,2009-07-21,"Siemens Energy & Automation, Inc.",US,1,EN002192,SIEMENS ENERGY &AMP; AUTOMAT,,,David E. Martin,,,,,,,,G06F-003/00,G06F-003/00 | G06F-009/44 | G06F-009/46 | G06F-013/00,719/310,719/310 | 719/313,,,,4.91E+12
US,US,P,A1,FRAMEWORK FOR RESULTS INTERPRETATION AND GUIDED REFINEMENT OF SPECIFICATIONS FOR PLC LOGIC VERIFICATION,"A system and method for interpreting formal verification results of PLC logic code used to control a manufacturing process, or other automated process, where the interpretation process does not require highly skilled technicians having significant experience in computer and mathematical algorithms. The verification process includes providing a verification results summary to check the compliance of the code with respect to the specifications. The verification results summary is analyzed and categorized to determine whether violations or errors are found in the results. The results can be depicted by assertion trees if a direct assertion between the PLC logic and the specifications can be provided. Alternatively, the results can be depicted by a reduced ladder logic if a direct assertion between the PLC logic and the specifications cannot be provided and a simulation is required. The specification refinement suggestions will be provided if the critical variable for violations is identified.","1. A method for verifying a manufacturing process, said method comprising: providing a verifier tool that represents the manufacturing process by mathematical models and algorithms; inputting programmable logic controller (PLC) logic code and specifications to the verifier tool; providing a results summary of the simulated manufacturing process from the verifier tool; analyzing the results summary to determine whether violations are found in the simulated manufacturing process; displaying the results using an assertion tree if a direct assertion is possible between the PLC logic and the specifications; and displaying the results using a reduced ladder logic if a direct assertion between the PLC logic and the specifications is not possible, where a simulation is required.",20,12/352988,2009-01-13,2009-0182442,2009-07-16,,,"GM GLOBAL TECHNOLOGY OPERATIONS, INC.",US,1,UN001045,GM GLOBALTECHNOLOGY OPERATIONS INC,,,NAGARAJAN SETHURAMAN | Soumen De | Chengyin Yuan | Narahari K. Hunsur,,,,,,,,G05B-019/42,G05B-019/42 | G06F-017/10,700/086,700/086 | 703/002,,,,5.41E+12
US,US,P,A1,Automatic Weld Arc Monitoring System,"A welding system including an arc monitoring, training, and control system is disclosed. The welding system includes a power supply, controller, and associated memory. When a weld is performed, the weld command and weld feedback parameters can be stored in the memory, along with associated alarm limit values. During subsequent welds, the input weld commands and actual feedback values can be compared to the established limits, and a fault signal provided to an operator or supervisor when the value exceeds the established limits. The fault signals can be used for training operators, as well as providing monitoring signals, and can be stored with weld data in a database for later analysis. In addition, collected weld data can be used to determine when to clean, repair, or replace consumables, including, for example, contact tips, wire drive liners, and drive rolls, and to monitor usage of wire and gas.","1. A welding system comprising: a power supply for providing welding power to a weld; a wire feed system for providing wire to the weld; a weld parameter feedback sensor for monitoring at least one of a current feedback, a voltage feedback signal, and a wire feed speed feedback signal from the weld; and a controller programmed to receive a welding command for driving the power supply and the wire feed system, to monitor the welding command and the weld parameter feedback sensor, and to selectively store the welding command and the monitored feedback as a programmed weld when an operator selectively saves the selected weld parameters.",22,12/350301,2009-01-08,2009-0173726,2009-07-09,,,,,0,,,,,Robert Raimund Davidson | Joseph Kyle Flnk | Paul Warren Cleveland,,,,,,,,B23K-009/10,B23K-009/10,219/130.1,219/130.1,,,,5.41E+12
US,US,P,A1,Robot system and method for maxibags sampling in ore concentration processes,"At present, the molybdenum sampling process in maxibags is carried out manually and it has the disadvantage of being carried out manually which causes the system efficiency to decrease due to the less representativeness of the samples obtained. Due to the above, a robot system and method have been developed for the sample taking of molybdenum in an automatic way so as to ensure the representativeness of the sampling as well as the control over the product to be commercialized. The robotic system is composed mainly of a robotic manipulator (1) of at least 5 degrees of freedom, and a gripping mechanism (2) which allows to take the sampling device (3) from a tool holder (4) located at on of its sides, moving it through a defined path to the sampling area (5), where the sampling process will take place, in a sequential and programmed way, to certain number of maxibags faces to be defined (7).","1. A robot system for the sampling of maxibags in ore concentration processes comprising an anthropomorphous robotic arm of at least 5 degrees of freedom, one control, communication and programming unit, one gripper adapter, one pneumatic gripper, its fingers, one pneumatic gripper driving system, one electric supply system and a sampling device or apparatus wherein the anthropomorphous robotic arm of at least 5 degrees of freedom is provided with a pneumatic gripping mechanism which allows in a sequential and programmed way to take, manipulate and release a sampling device and apparatus and moves it through a defined path, until reaching the maxibags area, where the concentrate sampling is carried out to a certain number of maxibags to be defined.",24,11/595964,2006-11-13,2009-0177324,2009-07-09,,,,,0,,,,,Hugo Salamanca,,,,,,,,G05B-015/00,G05B-015/00,700/260,700/260 | 901/002,,,,5.41E+12
US,US,P,B2,Load-lifting apparatus and method of storing energy for the same,"A load-lifting apparatus has one or more prime power sources, one or more energy storage systems and regenerative braking. Regenerative energy is recovered when the load-lifting apparatus lowers its load. The elements of the prime power sources, energy storage devices and electrical components may be distributed to provide stability for the load-lifting apparatus. The general power architecture and energy recovery method can be applied to cranes, rubber-tired gantry cranes, overhead cranes, mobile cranes, ship-to-shore cranes, container cranes, rail-mounted gantry cranes, straddle carrier cranes and elevators. In such an architecture, the energy storage system helps alleviate the power rating requirement of the prime power source with respect to the peak power requirement for lifting a load.","1. A load-lifting apparatus comprising: i) at least one motor for driving a mechanical load-lifting device having a load-lifting average power and a load-lifting peak power; ii) at least one energy storage unit for storing electric energy and supplying said electric energy to the at least one motor, having an energy storage capacity and an energy storage unit output power; iii) at least one prime power system having a prime power system rated power, being electrically connected to the at least one energy storage unit and the at least one motor for selectively providing electrical energy to the at least one energy storage unit and?to the at least one motor; iv) a bus electrically connecting the at least one energy storage unit, the at least one prime power system and the at least one motor; and v) a control system for controlling the operation of the at least one prime power system and the load-lifting apparatus, and for monitoring the at least one energy storage unit, wherein the at least one motor selectively receives operational energy from the at least one energy storage unit and the at least one prime power system, the at least one motor supplies regenerative braking energy to the bus when the load-lifting device lowers a load, and wherein the ratio of the at least one prime power system rated power to the load-lifting peak power is between 0.2 and 0.7.",20,11/818043,2007-06-13,2008-0048497,2008-02-28,7554278,2009-06-30,Railpower Technologies Corp.,CA,1,EN033024,RAILPOWER TECHNOLOGIES CORP,,,Frank Wegner-Donnelly | Raymond Cousineau | Serge Mai,,,,,,,,H02P-003/00,H02P-003/00,318/375,318/375 | 318/376 | 318/377 | 187/277,,,,4.91E+12
US,US,P,B2,Editing lifecycle and deployment of objects in an industrial automation environment,"An editor in an industrial automation environment comprises an input component that receives modification data relating to at least one of lifecycle and deployment of an object, the object is associated with a programmable logic controller and configured in accordance with a hierarchically structured data model. An implementation component can implement the modification data with respect to the object. The editor can further comprise a security component that determines that an entity providing the data to the input component is authorized to implement the modification data.","1. An editor embodied on a computer readable medium in an industrial automation environment, comprising: an input component that receives modification data relating to at least one of lifecycle and deployment of an object, the object is associated with a programmable logic controller and configured in accordance with a hierarchically structured data model; and an implementation component that implements the modification data with respect to the object.",27,11/238292,2005-09-29,2007-0073750,2007-03-29,7548789,2009-06-16,"Rockwell Automation Technologies, Inc.",US,1,EN002228,ROCKWELL AUTOMATION TECH INC,,,Sujeet Chand | Stephen C. Briant | Kenwood H. Hall | Gavan W. Hood | John J. Baier | Michael D. Kalan,,,,,,,,G05B-019/42,G05B-019/42,700/087,700/087,,,,4.91E+12
US,US,P,B2,Numerical control system,"A numerical control system using converted data is provided in which changes can be made quickly to the feed rate by speed override and the like, the operation of the machine according to the content of variable data, and workpiece offset data during machining operation. The numerical control system includes a machining-program/internal-processing conversion module for allocating during conversion a command in a machining program to an application program for the numerical control apparatus, a variable/offset conversion module for storing during conversion, with respect to a command such as a variable command and a tool offset command in the machining program, only referencing information for the command, and a conversion data executing module for directly executing, during machining program execution, the internal processing sequentially based on data allocated by the conversion module.","1. A numerical control system comprising: a conversion means for pre-generating data for allocating commands in a machining program to an internal processing unit of a numerical control apparatus, and for storing the data in memory; and a conversion data executing means for using the data generated by the conversion means and pre-stored in the memory to directly execute the internal processing unit in sequence, without performing processing for allocating the commands in the machining program to the internal processing unit of the numerical control apparatus, when the machining program is executed to control a control object, wherein for at least one of a G code machining program command and an auxiliary function, main axis function, tool function, and second auxiliary function (MSTB) machining program command, the conversion means stores in a table provided in memory a numerical-control-apparatus internal processing unit address and a parameter, for said machining-program command.",28,10/549114,2003-03-17,2006-0173572,2006-08-03,7548795,2009-06-16,Mitsubishi Denki Kabushiki Kaisha,JP,1,UN000022,MITSUBISHI ELECTRIC CORP,,,Masakazu Sagasaki | Hirohusa Kamiya | Toru Takeyama,,,,WO2004-083975,2004-09-30,,,G06F-019/00,G06F-019/00 | G06F-017/00 | G05B-019/18,700/181,700/181 | 700/017 | 707/104.1 | 717/136 | 715/961 | 318/569,,,,4.91E+12
US,US,P,A1,Single tool nailing bridge system,"A new and improved nailing bridge system which comprises a single nailing gun which is mounted for movement along a stud frame locus or a seam locus, defined by means of abutting sheets of wall sheathing, covering, paneling, or the like, wherein the single nailing gun can be moved to any one of effectively an infinite number of positions so as to permit nails to be driven into the covering, sheathing, paneling, or the like, in order to fixedly secure the sheathing, covering, paneling, or the like, to underlying stud frame members of a wall structure or wall panel member. Stitcher guns are also mounted upon a separate support beam so as to fixedly secure the sheathing, covering, paneling, or the like, to the upper and lower plate, header, or footer members of the wall structure or wall panel member.","1. A nailing bridge system for mounting a nail gun, comprising: a first framework support beam disposed above an underlying structure into which nails are to be driven in order to secure finishing sheets to the underlying structure comprising a plurality of stud members and a header and footer frame member; a carriage assembly movably mounted upon said first framework support beam so as to be disposed at any one of a plurality of positions along a locus along which nails are to be driven into the underlying structure; and a nailing gun mounted upon said carriage assembly for inserting nails into the underlying structure as said carriage assembly is moved along said framework support beam.",17,12/285153,2008-09-30,2009-0127311,2009-05-21,,,,,0,,,,,Aubrey Smith | Stephen Fleming | Robert Tucker | Douglas Dowd,,,,,,,,B27F-007/00,B27F-007/00,227/111,227/111,,,,5.41E+12
US,US,P,B2,Linear stamp applicator machine and method of operating the same,"Apparatus for applying tax stamps to individual cigarette packages of different cigarette cartons, having different height dimensions, comprises a cigarette carton height determination station, a cigarette carton opening station, a cigarette package tax stamp application station, a cigarette carton closing station, and a cigarette carton exit station. Each particular cigarette carton has its height dimension determined at the first cigarette carton height determination station, and the height dimension data is transmitted to a programmable logic controller (PLC). The programmable logic controller (PLC) automatically adjusts mechanisms located at the various stations in accordance with the height dimension data characteristic of each cigarette carton.","1. Apparatus for applying tax stamps onto cigarette packages disposed within different cigarette cartons having different height dimensions, comprising: a conveyor for serially conveying a plurality of different cigarette cartons having different height dimensions; a contact member movably disposed at a cigarette carton height determination station for movement into contact engagement with an upper surface portion of a particular one of the plurality of different cigarette cartons, having different height dimensions, disposed at said cigarette carton height determination station; ultrasonic sensor means, disposed at said cigarette carton height determination station, for sensing the distance of said contact member, disposed in contact with the upper surface portion of the particular one of the plurality of different cigarette cartons having the different height dimensions and disposed at said cigarette carton height determination station, from said sensor means and therefore for determining the particular height dimension of the one of the plurality of different cigarette cartons, having the different height dimensions, disposed at said cigarette carton height determination station, and for generating data indicative of the particular height dimension of the particular one of the plurality of different cigarette cartons, having the different height dimensions, disposed at said cigarette carton height determination station; tax stamp application means disposed at a cigarette package tax stamp application station for applying tax stamps to individual cigarette packages disposed within each one of the plurality of cigarette cartons, having the different height dimensions, as each cigarette carton is disposed at said cigarette package tax stamp application station; and first means for automatically adjusting the elevational disposition of said tax stamp application means, disposed at said cigarette package tax stamp application station, in accordance with said height dimension data characteristic of the particular one of the plurality of different cigarette cartons having the different height dimensions, as determined by said contact member and said sensor means disposed at said cigarette carton height determination station, as each one of the plurality of different cigarette cartons, having the different height dimensions, is respectively disposed at said cigarette package tax stamp application station, such that said tax stamp applicator will be properly positioned with respect to the particular one of the plurality of different cigarette cartons, having the different height dimensions, which is being conveyed to said cigarette package tax stamp application station by said conveyor so as to be capable of properly applying tax stamps to the individual cigarette packages of the particular one of the plurality of different cigarette cartons, having the different height dimensions, when the particular one of the plurality of different cigarette cartons, having the different height dimensions, is disposed at said cigarette package tax stamp application station regardless of the particular height dimension of any one of the plurality of different cigarette cartons having the different height dimensions.",16,10/037386,2001-12-21,2003-0116285,2003-06-26,7533710,2009-05-19,Illinois Tool Works Inc.,US,1,UN000205,ILLINOIS TOOL WORKS,,,Ronald Michalski | Michael J. Christensen | David A. Lindquist | Kyle R. Gugisberg,,,,,,,,B29C-065/48,B29C-065/48 | B32B-041/00 | B65B-019/28 | B65B-057/00,156/556,156/556 | 156/566 | 156/DIG.3 | 156/DIG.4 | 156/DIG.27 | 156/DIG.37 | 053/052 | 053/382.1 | 053/383.1,,,,4.91E+12
US,US,P,A1,Robot system and method for unblocking the primary crusher,"At present, the unblocking of the primary crusher is carried out manually or using mechanical equipment which means the crusher stops for a long time and is less available. There is also a high level of exposure to the risks associated to unblocking procedures. Due to the above, a robot system and method have been developed for unblocking primary crushers. The system is composed mainly of an anthropomorphous robotic manipulator of at least 5 degrees of freedom, and a system to unclog or release the crusher. In this regard, most of the problems associated to the safety of the people and less availability decrease.","1. A robot system for unblocking the primary crusher comprising an anthropomorphous robotic arm of at least 5 degrees of freedom, one control, communication and programming unit, one gripper adapter, one pneumatic gripper, its fingers, one pneumatic gripper driving system, one electric supply system wherein the anthropomorphous robotic arm of at least 5 degrees of freedom is provided with a pneumatic or hydraulic gripping mechanism which allows to take, manipulate and release in a sequential and programmed way different tools within the work volume of the robotic system, and which are moved through a defined path, to the primary crusher in which they are used to remove the material or the object clogging the primary crusher.",26,11/598138,2006-11-13,2009-0121061,2009-05-14,,,,,0,,,,,Hugo Salamanca,,,,,,,,A47J-017/18,A47J-017/18 | B02C-023/00,241/166,241/166 | 241/033 | 901/015,,,,5.41E+12
US,US,P,A1,Automated three nail gun tool dolly,"A new and improved automated gun tool dolly which comprises a plurality of nail guns, such as, for example, three nail guns, which are mounted upon a horizontally movable carriage assembly in a vertically and horizontally staggered mode so as to be disposed within a diagonal array. Movement of the carriage assembly along horizontally oriented guide rails is automatically controlled, such as, for example, by means of a programmable logic controller (PLC), such that the three nail guns are sequentially and continuously disposed at predetermined firing positions at which the nail guns are sequentially fired so as to insert nails within predetermined regions of 2×4 or 2×6 plate, header, or footer members of a wall panel or wall structure.",1. An automated nail gun tool dolly comprising: a carriage assembly; a plurality of nail guns mounted upon said carriage assembly in a vertically and horizontally staggered mode so as to effectively define a diagonal array; and means for moving said carriage assembly so as to sequentially present each one of said plurality of nail guns at predetermined positions with respect to a structure into which nails are to be driven such that the nails are driven into the structure in a vertically oriented linear array.,19,12/285154,2008-09-30,2009-0100662,2009-04-23,,,,,0,,,,,Aubrey Smith | Stephen Fleming | Robet Tucker | Douglas Dodd,,,,,,,,B23Q-015/22,B23Q-015/22 | B23Q-003/16 | B23Q-016/02,029/525.1,029/525.1 | 029/565 | 029/712 | 029/703,,,,5.41E+12
US,US,P,A1,Robot system and method for molybdenum roasting furnaces cleaning procedures,"At present, the cleaning procedures for roasting furnaces are carried out manually. Due to the demanding operating conditions for the plant personnel, there is a decrease in the furnace performance which means less productivity. Due to the above, a robot system and method have been developed for the cleaning of molybdenum roasting furnaces. The robotic system is composed mainly of an anthropomorphous robotic manipulator (1) of at least 5 degrees of freedom which is mounted on each floor of the furnace (2) and provided with a gripping mechanism (3) which allows to take a rugged device in a spraying or rotary brush system (4) which is lifted and moved to the window of the furnace to be used in the cleaning process for the roasting furnace through the localized cleaning in arms, harrows, passes, inner walls, plate and shaft of the roasting furnace. Once this is done, the gripping mechanism (3) withdraws and removes the tool system from the furnace window. (5)","1. A robot system for cleaning the molybdenum roasting furnaces, comprising an anthropomorphous robotic arm of at least 5 degrees of freedom, one control, communication and programming unit, one gripper adapter, one pneumatic gripper, its fingers, one pneumatic gripper driving system, one electric supply system, one spraying and/or rotary brushes system and one fixed tool holder wherein the anthropomorphous robotic arm of at least 5 degrees of freedom is provided with a pneumatic gripping mechanism which allows in a sequential and programmed way to take, manipulate and release from a fixed tool holder located at one of the sides of the robot a cleaning device or apparatus which is composed of a spraying and/or rotary brush system which is lifted and moved to the window of the furnace to be used in the cleaning of the roasting furnace through the localized cleaning in arms, harrows, passes, inner wall, plate and shaft of the roasting furnace.",26,11/595951,2006-11-13,2009-0101179,2009-04-23,,,,,0,,,,,Hugo Salamanca,,,,,,,,B08B-009/027,B08B-009/027,134/024,134/024 | 134/172,,,,5.41E+12
