"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
222-1-000021,별내면 노상제3,공영,노상,경기도 남양주시 별내면 청학로 113,경기도 남양주시 별내면 청학리 439-6외(별내도서관 건너편),36,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7073577,127.1189335,2017-04-18
222-1-000022,별내면 노상제4,공영,노상,경기도 남양주시 별내면 청학로 68번길,경기도 남양주시 별내면 청학리 412-4(별내 파출소 앞),17,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.710737,127.1200594,2017-04-18
222-1-000023,별내면 노상제5,공영,노상,경기도 남양주시 별내면 청학리 92번길 104,경기도 남양주시 별내면 청학리 421(청학주공 6단지 뒤),22,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7110181,,2017-04-18
222-1-000024,별내면 노상제6,공영,노상,경기도 남양주시 별내면 청학로 학교길,경기도 남양주시 별내면 청학리(청학주공 7단지 앞),19,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7107312,127.1150376,2017-04-18
222-1-000025,별내면 노상제7,공영,노상,경기도 남양주시 별내면 청학로 92번길 44,경기도 남양주시 별내면 청학리(별내중학교 뒤),34,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7129436,127.1153768,2017-04-18
222-1-000026,퇴계원 노상제1,공영,노상,경기도 남양주시 퇴계원면 도제원로 87,"경기도 남양주시 퇴계원면,리 70-67,70-70(KT전화국 앞)",7,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6551003,127.1452592,2017-04-18
222-1-000027,호평 노상제2,공영,노상,,경기도 남양주시 호평동 706(효성백년가약아파트 후문),15,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-1-000028,평내 노상제1,공영,노상,경기도 남양주시 평내로 29번길,경기도 남양주시 평내동 630(대주아파트 뒤),19,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6459506,127.2344212,2017-04-18
222-1-000029,평내 노상제2,공영,노상,,경기도 남양주시 평내동 640(평내중학교 뒤),13,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6484008,127.238268,2017-04-18
222-1-000030,진접 노상제6,공영,노상,,경기도 남양주시 진접읍 금곡리 1127-38번지(주곡중 신안인스빌 후문),13,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7243288,127.2092371,2017-04-18
222-1-000031,도농 노상제1,공영,노상,,경기도 남양주시 도농동 53-13번지 일원(도농굴다리 우리은행입구),11,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6063703,127.1573637,2017-04-18
222-1-000032,진접 노상제7,공영,노상,,경기도 남양주시 진접읍 금곡리 1127-3(진접택지/우체국 뒤),35,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.7117454,127.1870141,2017-04-18
222-1-000033,화도 노상제4,공영,노상,경기도 남양주시 화도읍 마석로 27-15,경기도 남양주시 화도읍 마석우리 307-1(홍반장카센터 앞),9,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6536078,127.3057655,2017-04-18
222-1-000034,별내동 노상제1,공영,노상,,경기도 남양주시 별내동 1059(동익미라벨아파트 정문 앞),48,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",대성산업,,,,2017-04-18
222-1-000034,별내동 노상제2,공영,노상,,경기도 남양주시 별내동 1031(동익미라벨 부동산 앞),11,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",대성산업,,,,2017-04-18
222-1-000034,별내동 노상제3,공영,노상,,경기도 남양주시 별내동 1017(우리~하나은행 앞),23,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",대성산업,,,,2017-04-18
222-1-000034,별내동 노상제4,공영,노상,,경기도 남양주시 별내동 1031(별내자치센터 뒤),18,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",대성산업,,,,2017-04-18
222-1-000035,별내동 노상제5,공영,노상,,경기도 남양주시 별내동 1029(별내자치센터 앞),26,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-1-000034,별내동 노상제6,공영,노상,,"경기도 남양주시 별내동 1004, 1006-4, 1009(로뎀타워 주변)",52,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",대성산업,,,,2017-04-18
222-1-000036,와부 노상제3,공영,노상,경기도 남양주시 와부읍 수레로 116번길,경기도 남양주시 와부읍 덕소리 50(덕소 아이비스파 앞),6,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.591331,,2017-04-18
222-1-000037,평내 노상제3,공영,노상,,경기도 남양주시 평내동 639(평내우체국 앞),20,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-1-000038,와부 노상제4,공영,노상,,경기도 남양주시 와부읍 덕소리 558-4번지 일원(덕소 우림아파트 앞),22,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-1-000039,별내동 노상제7,공영,노상,,경기도 남양주시 별내동 228-2(별빛도서관 옆),34,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-1-000040,별내동 노상제8,공영,노상,,경기도 남양주시 별내동 1032(신성프라자 상가 앞),19,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-1-000041,별내동 노상제9,공영,노상,,경기도 남양주시 별내동 1098(화접지하차도 상부),41,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-1-000042,금곡 노상제7,공영,노상,,경기도 남양주시 금곡동 428-8번지(양병원 옆),19,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-1-000043,금곡 노상제8,공영,노상,,경기도 남양주시 금곡동 146-3번지 일원(중앙의원 옆),17,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-1-000044,진접 노상제8,공영,노상,,경기도 남양주시 진접읍 내각리 323-2번지 일원(진접농협 내각지점 앞),25,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-2-000001,와부 제1공영,공영,노외,경기도 남양주시 와부읍 덕소로97번길 7-2,경기도 남양주시 와부읍 덕소리 474-1,32,1,요일제,평일+토요일,09:00,22:00,09:00,22:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,현금,"경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",(사)경기도장애인협회 남양주시지회,070-4102-3313,37.5862486,,2017-04-18
222-2-000002,지금 제1공영,공영,노외,,경기도 남양주시 도농동 155-6번지 일원 (기업은행 뒤),47,1,요일제,평일+토요일,10:00,19:00,10:00,19:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.6051193,127.157728,2017-04-18
222-2-000003,화도 제4공영,공영,노외,경기도 남양주시 화도읍 마석로 12,경기도 남양주시 화도읍 창현리 469-1번지 일원(금마천 복개),55,1,요일제,평일+토요일,10:00,19:00,10:00,19:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.6519225,127.306647,2017-04-18
222-2-000004,퇴계원 제1공영,공영,노외,,"경기도 남양주시 퇴계원면,리 318-1",73,1,요일제,평일+토요일,08:00,20:00,08:00,20:00,08:00,20:00,유료,30,600,10,300,0,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",퇴계원면새마을지도자협의회,,37.6493492,127.1446406,2016-06-01
222-2-000005,양정 제2공영,공영,노외,,경기도 남양주시 일패동 269-1(양정동 군부대앞),150,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6187825,127.1979176,2017-04-18
222-2-000006,진건 제1공영,공영,노외,경기도 남양주시 진건읍 사릉로 439-2,"경기도 남양주시 진건읍 용정리 800-6 ,사능리654-6(화성아파트 뒤)",18,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6576462,127.1759127,2017-04-18
222-2-000007,호평 제1공영,공영,노외,,경기도 남양주시 호평동 350번지(천마산 입구),63,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6704212,127.2519129,2017-04-18
222-2-000008,진접 제1공영,공영,노외,,경기도 남양주시 진접읍 팔야리 778-4(광릉숯불고기 옆),120,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7448688,127.2084008,2017-04-18
222-2-000009,평내 제1공영,공영,노외,,경기도 남양주시 평내동 588-3(평내동 사무소 옆),30,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6481525,127.236291,2017-04-18
222-2-000010,화도 제5공영,공영,노외,,경기도 남양주시 화도읍 마석우리 392-3(마석택지지구),29,1,요일제,평일+토요일,06:00,00:00,06:00,00:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.6570029,127.3028873,2017-04-18
222-2-000011,퇴계원 제2공영,공영,노외,,"경기도 남양주시 퇴계원면,리 257-6번지 일원(퇴계원공원 밑)",36,1,요일제,평일+토요일,10:00,19:00,10:00,19:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.6512216,127.1430397,2017-04-18
222-2-000012,별내 제1공영,공영,노외,경기도 남양주시 별내면 순화궁로 931,경기도 남양주시 별내면 청학리 537번지(수락산 입구),27,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7052001,127.1063698,2017-04-18
222-2-000013,와부 제2공영,공영,노외,경기도 남양주시 와부읍 덕소로 100-3,경기도 남양주시 와부읍 덕소리 510-4(덕소철길 밑),31,1,요일제,평일+토요일,10:00,19:00,10:00,19:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.5853783,127.2119678,2017-04-18
222-2-000014,지금 제2공영,공영,노외,,경기도 남양주시 가운동 664(소방서 뒤),80,1,요일제,평일+토요일,10:00,19:00,10:00,19:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.6048522,127.1579811,2017-04-18
222-2-000015,평내 제2공영,공영,노외,,경기도 남양주시 평내동 660-8번지(평내호평역사),141,1,요일제,평일+토요일,06:00,00:00,12:00,21:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.6535304,127.2429714,2017-04-18
222-2-000016,진접 제2공영,공영,노외,경기도 남양주시 진접읍 부마로6번길 11-7,경기도 남양주시 진접읍 팔야리 792번지 일원(진접농협 광릉지점 뒤),104,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7453527,127.2016353,2017-04-18
222-2-000017,진접 제3공영,공영,노외,,경기도 남양주시 진접읍 장현리 710-2(남광하우스토리 지하),48,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7256221,127.1926616,2017-04-18
222-2-000018,진접 제4공영,공영,노외,,경기도 남양주시 진접읍 부평리 755(동부센트레빌 지하),40,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7414387,127.199637,2017-04-18
222-2-000019,화도 제1공영,공영,노외,경기도 남양주시 화도읍 마석우리 334-11,경기도 남양주시 화도읍 마석우리 334-11번지 일원(마석 5일장),111,1,요일제,평일+토요일,10:00,19:00,10:00,19:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.6531644,127.3029941,2017-04-18
222-2-000020,화도 제2공영,공영,노외,경기도 남양주시 화도읍 마석우리 339-12,경기도 남양주시 화도읍 마석우리 339-12번지 일원(화도센터 건너편),76,1,요일제,평일+토요일,10:00,19:00,10:00,19:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",화도 제2주차장,,37.6533083,127.3020889,2017-04-18
222-2-000021,사능 제1공영,공영,노외,,경기도 남양주시 진건읍 사능리 693-3번지 일원(사능역사 옆),92,1,요일제,평일+토요일,07:00,17:00,00:00,00:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
