	applicant	patent_id
252	cueros industrializados del bajio, s.a.de c.v.	240
253	reveo, inc.	241
254	ukn	242
255	ukn	243
256	ukn	244
257	ukn	245
258	ukn	246
259	integrated medical systems, inc.	247
260	ukn	248
261	infraredx, inc.	249
262	distrobot systems, inc.	250
263	donnelly corporation	251
264	ukn	252
265	ukn	253
266	ukn	254
267	scientific games inc.	255
268	infraredx, inc.	256
269	delphi technologies, inc.	257
270	hitachi, ltd.	258
271	ukn	259
272	ukn	260
273	northrop grumman corporation	261
274	ukn	262
275	foss tecator ab	263
276	ukn	264
277	tara investments, llc	265
278	delphi technologies, inc.	266
279	ukn	267
280	koito manufacturing co., ltd.	268
281	university of kentucky research foundation	269
282	ukn	270
283	ukn	271
284	ukn	272
285	sensors inc.	273
286	raytheon company	274
287	ukn	275
288	donnelly corporation	276
289	peugeot citroen automobiles sa	277
290	brunswick bowling & billiards corporation	278
291	medtronic minimed, inc.	279
292	the regents of the university of california	279
293	ukn	280
294	ukn	281
295	ukn	282
296	ge medical systems global technology company, llc	283
297	ukn	284
298	general electric company	285
299	ukn	286
300	ukn	287
301	litton systems, inc.	288
302	ukn	289
303	ukn	290
304	ukn	291
305	infraredx, inc.	292
306	infraredx, inc.	293
307	ukn	294
308	nanosys, inc.	295
309	litton systems, inc.	296
310	ukn	297
311	ukn	298
312	ukn	299
313	ukn	300
314	ukn	301
315	zohar lightomatic ltd.	302
316	infraredx, inc.	303
317	ukn	304
318	litetech, inc.	305
319	infraredx, inc.	306
320	ukn	307
321	usa technologies, inc.	308
322	last mile communications/tivis limited	309
323	litetech, inc.	310
324	ukn	311
325	ukn	312
326	ukn	313
327	ukn	314
328	donnelly corporation	315
329	ukn	316
330	ukn	317
331	ukn	318
332	ukn	319
333	ukn	320
334	3m innovative properties company	321
335	ukn	322
336	ukn	323
337	foss tecator ab	324
338	ukn	325
339	ukn	326
340	reveo, inc.	327
341	ukn	328
342	ukn	329
343	ukn	330
344	ukn	331
345	ukn	332
346	ukn	333
347	ukn	334
348	panda eng., inc	335
349	ukn	336
350	infredx inc.	337
351	ukn	338
352	ukn	339
353	objectsoft, inc.	340
354	ukn	341
355	ukn	342
356	lely research holding a.g. liability company	343
357	ukn	344
358	biosense, inc.	345
359	ukn	346
360	ukn	347
361	ukn	348
362	ukn	349
363	ukn	350
364	siemens aktiengesellschaft	351
365	litton systems, inc.	352
366	ukn	353
367	ukn	354
368	ukn	355
369	international truck and engine corp.	356
370	ukn	357
371	ukn	358
372	university of kentucky research foundation, kentucky corporation	359
373	ukn	360
374	ukn	361
375	ukn	362
376	donnelly corporation	363
377	ukn	364
378	the united states of america as represented by the united states department of energy	365
379	commercial vehicle systems, inc.	366
380	rockwell science center	367
381	fast air s.l.	368
382	commercial vehicle systems, inc.	369
383	zohar lightomatic ltd.	370
384	raytheon company	371
385	laserscore, inc.	372
386	raytheon company	373
387	ukn	374
388	eftek corporation	375
389	restaurant technology, inc.	376
390	ukn	377
391	ukn	378
392	nippon carbide kogyo kabushiki kaisha	379
393	lucent technologies inc.	380
394	ukn	381
395	daimlerchrysler ag	382
396	boeing north american, inc.	383
397	toyota jidosha kabushiki kaisha	384
398	northrop grumman corporation	385
399	sandia corporation	386
400	donnelly corporation	387
401	foss nirsytems, inc.	388
402	etat francais represente par de delegue general pour l'armement	389
403	schwartz electro-optics, inc.	390
404	honeywell inc.	391
405	aerodyne research, inc.	392
406	northrop grumman corporation	393
407	commonwealth scientific and industrial research organisation	394
408	telstra corporation limited	394
409	infrasoft international llc	395
410	ukn	396
411	ukn	397
412	transmart technologies, inc.	398
413	hughes electronics	399
414	ukn	400
415	foss nirsystems, inc.	401
416	ukn	402
417	ukn	403
418	northrop grumman corporation	404
419	exergen corporation	405
420	penda corporation	406
421	doherty; john a.	407
422	the state of israel, ministry of defence, armament development authority	408
423	argus international	409
424	ukn	410
425	the united states of america as represented by the secretary of the army	411
426	ukn	412
427	honeywell inc.	413
428	general electric company	414
429	jalco co., ltd.	415
430	rexham graphics inc.	416
431	environmental products corporation	417
432	the united states of america as represented by the secretary of the army	418
433	nirsystems incorporated	419
434	the united states of america as represented by the secretary of the army	420
435	the united states of america as represented by the secretary of the army	421
436	the united states of america as represented by the secretary of the army	422
437	the united states of america as represented by the secretary of the army	423
438	nirsystems incorporated	424
439	equipments st-louis & fils, inc.	425
440	the united states of america as represented by the secretary of the army	426
441	the united states of america as represented by the secretary of the army	427
442	the united states of america as represented by the secretary of the army	428
443	nirsystems incorporated	429
444	linear dynamics, inc.	430
445	hughes aircraft company	431
446	texas instruments incorporated	432
447	the united states of america as represented by the secretary of the navy	433
448	ukn	434
449	loral infrared & imaging systems, inc.	435
450	rapro technology, inc.	436
451	the united states of america as represented by the secretary of the army	437
452	ukn	438
453	hughes aircraft company	439
454	the united states of america as represented by the secretary of the army	440
455	the united states of america as represented by the secretary of the army	441
456	hughes aircraft company	442
457	harmon industries, inc.	443
458	northrop corporation	444
459	nicolet instrument corporation	445
460	the united states of america as represented by the secretary of the army	446
461	futrex, inc.	447
462	sentrol, inc.	448
463	hughes aircraft company	449
464	the united states of america as represented by the secretary of the army	450
465	donnelly corporation	451
466	the united states of america as represented by the secretary of the army	452
467	the united states of america as represented by the secretary of the army	453
468	automated packaging systems, inc.	454
469	aritech corporation	455
470	coherent, inc.	456
471	gte products corporation	457
472	the united states of america as represented by the secretary of the army	458
473	sangamo-weston, incorporated	459
474	hughes aircraft company	460
475	applied science laboratories	461
476	u.s. philips corp.	462
477	the united states of america as represented by the secretary of the army	463
478	the united states of america as represented by the secretary of the army	464
479	spectrolab, inc.	465
480	ukn	466
481	ukn	467
482	quadtek, inc.	468
483	interactive systems, incorporated	469
484	hughes aircraft company	470
485	grumman aerospace corportion	471
486	dr.-ing. rudolf hell gmbh	472
487	pacific scientific company	473
488	the united states of america as represented by the secretary of the army	474
489	the bf goodrich company	475
490	spectra-physics, inc.	476
491	coulter electronics, inc.	477
492	the united states of america as represented by the secretary of the army	478
493	baker's pride oven co., inc.	479
494	the b. f. goodrich company	480
495	shirco infrared systems, inc.	481
496	u.s. philips corporation	482
497	electro-tec corporation	483
498	andros anlayzers incorporated	484
499	the united states of america as represented by the secretary of the army	485
500	itek corporation	486
501	the collector's armoury, inc.	487
502	the united states of america as represented by the secretary of the army	488
503	ukn	489
504	the united states of america as represented by the secretary of the army	490
505	avco corporation	491
506	ukn	492
507	honeywell, inc.	493
508	luxtron corporation	494
509	harris corporation	495
510	the united states of america as represented by the secretary of the army	496
511	position orientation systems, ltd.	497
512	honeywell inc.	498
513	the united states of america as represented by the secretary of the army	499
514	pacific scientific company	500
515	ball corporation	501
516	the united states of america as represented by the secretary of the army	502
517	the united states of america as represented by the secretary of the army	503
518	carson alexion corporation	504
519	the united states of america as represented by the scretary of the army	505
520	pacific scientific instruments company	506
521	the united states of america as represented by the secretary of the army	507
522	the united states of america as represented by the secretary of the army	508
523	pacific scientific instruments company	509
524	imagineering, inc.	510
525	ag-electron, inc.	511
526	barnes; robert r.	512
527	general dynamics, pomona division	513
528	carson alexiou corporation	514
529	dayco corporation	515
530	national computer systems, inc.	516
531	ukn	517
532	ukn	518
533	u.s. philips corporation	519
534	honeywell inc.	520
535	commissariat a l'energie atomique	521
536	ukn	522
537	the university of akron	523
538	the united states of america as represented by the secretary of the army	524
539	the united states of america as represented by the secretary of the army	525
540	santa barbara research center	526
541	aluminum company of america	527
542	the united states of america as represented by the secretary of agriculture	528
543	white-westinghouse corporation	529
544	metaio gmbh	530
545	nec corporation	531
546	google inc.	532
547	google inc.	533
548	fujitsu limited	534
549	mitsubishi electric corporation	535
550	nec corporation	536
551	conti temic microelectronic gmbh	537
552	gm global technology operations llc	538
553	nanjing university	539
554	tandent vision science, inc.	540
555	gm global technology operations llc	541
556	carnegie mellon university	541
557	conti temic microelectronic gmbh	542
558	canon kabushiki kaisha	543
559	wake forest university health sciences	544
560	electronics and telecommunications research institute	545
561	certusview technologies, llc	546
562	amadeus s.a.s.	547
563	hyundai motor company	548
564	iucf-hyu (industry-university cooperation foundation hanyang university)	548
565	kia motors corporation	548
566	gm global technology operations llc	549
567	bendix commercial vehicle systems llc	550
568	international business machines corporation	551
569	microsoft corporation	552
570	volvo car corporation	553
571	xerox corporation	554
572	gm global technology operations llc	555
573	bomag gmbh	556
574	purushottaman nandakumar	557
575	vinay chandra	557
576	valeo schalter and sensoren gmbh	558
577	mesa engineering, inc.	559
578	infosys limited	560
579	visibility.biz inc.	561
580	valeo schalter und sensoren gmbh	562
581	valeo schalter sensoren gmbh	563
582	conti temic microelectronic gmbh	564
583	fuji jukogyo kabushiki kaisha	565
584	pioneer corporation	566
585	honda motor co., ltd.	567
586	edgenet, inc.	568
587	ukn	569
588	ukn	570
589	international business machines corporation	571
590	gm global technology operations llc	572
591	ukn	573
592	hitachi automotive systems ltd	574
593	track america	575
594	ukn	576
595	mitsubishi electric corporation	577
596	loquitur, inc.	578
597	gorilla technology inc.	579
598	aisin aw co., ltd.	580
599	pioneer corporation	581
600	ukn	582
601	ukn	583
602	ukn	584
603	national chiao tung university	585
604	fujifilm corporation	586
605	microsoft corporation	587
606	honda motor co., ltd.	588
607	trimble navigation limited	589
608	ukn	590
609	mitsubishi electric corporation	591
610	ukn	592
611	denso corporation	593
612	eagle view technologies, inc.	594
613	mobileye technologies limited	595
614	boundary solutions, inc.	596
615	metaio gmbh	597
616	ukn	598
617	denso corporation	599
618	nokia corporation	600
619	google inc.	601
620	robert bosch gmbh	602
621	ukn	603
622	mitsubishi electric corporaiton	604
623	national ict australia limited	605
624	fujifilm corporation	606
625	ukn	607
626	valeo schalter und sensoren gmbh	608
627	valeo schalter und sensoren gmbh	609
628	google inc.	610
629	ukn	611
630	certusview technologies, llc	612
631	honda motor co., ltd.	613
632	delphi technologies, inc.	614
633	edgenet, inc.	615
634	the hong kong polytechnic university	616
635	shaoping yang	617
636	qinghe wang	617
637	denso corporation	618
638	fuji jukogyo kabushiki kaisha	619
639	ukn	620
640	ukn	621
641	nec corporation	622
642	gm global technology operations, inc.	623
643	denso corporation	624
644	volvo technology corporation	625
645	total immersion	626
646	ukn	627
647	intel corporation	628
648	wake forest university health sciences	629
649	paieon inc.	630
650	gm global technology operations, inc.	631
651	carnegie mellon university	631
652	ukn	632
653	ukn	633
654	panasonic electric works co., ltd.	634
655	ukn	635
656	toyota jidosha kabushiki kaisha	636
657	ukn	637
658	certusview technologies, llc	638
659	ukn	639
660	raytheon company	640
661	gm global technology operations, inc.	641
662	ukn	642
663	geo-3d inc.	643
664	fuji jukogyo kabushiki kaisha	644
665	gm global technology operations, inc.	645
666	ukn	646
667	ukn	647
668	hitachi, ltd.	648
669	ukn	649
670	traffic.com, inc.	650
671	ukn	651
672	fujifilm corportation	652
673	toyota jidosha kabushiki kaisha	653
674	ukn	654
675	change point analytics ltd	655
676	ukn	656
677	international business machines corporation	657
678	ukn	658
679	adc automotive distance control system gmbh	659
680	aisin aw co., ltd.	660
681	ukn	661
682	ukn	662
683	donnelly corporation	663
684	denso corporation	664
685	denso corporation	665
686	hrl laboratories	666
687	mobileye technologies ltd.	667
688	teletech holdings, inc.	668
689	ukn	669
690	ukn	670
691	hitachi, ltd.	671
692	mitsubishi electric research laboratories, inc.	672
693	ukn	673
694	fujifilm corporation	674
695	ukn	675
696	denso corporation	676
697	ukn	677
698	ukn	678
699	ukn	679
700	ukn	680
701	searete llc, a limited liability corporation of the state of delaware	681
702	ukn	682
703	ukn	683
704	ukn	684
705	yissum research development	685
706	ukn	686
707	matsushita electric industrial co., ltd.	687
708	berry plastics corporation	688
709	denso corporation	689
710	traffic.com, inc.	690
711	kabushiki kaisha toshiba	691
712	aisin aw co., ltd.	692
713	toyota jidosha kabushiki kaisha	692
714	traffic.com, inc.	693
715	donnelly corporation, a corporation of the state michigan	694
716	nissan motor co., ltd.	695
717	ukn	696
718	ukn	697
719	ukn	698
720	siemens energy and automation, inc.	699
721	edgenet, inc.	700
722	facet technology, corporation	701
723	donnelly corporation	702
724	ukn	703
725	ukn	704
726	ukn	705
727	acuity cimatrix, inc.	706
728	ichikoh industries, ltd.	707
729	kline & walker, llc	708
730	daimlerchrysler ag	709
731	ukn	710
732	ukn	711
733	denso corporation	712
734	ukn	713
735	facet technology	714
736	bar ilan university	715
737	ukn	716
738	geojet information solutions, inc.	717
739	ukn	718
740	ichikoh industries, ltd.	719
741	fuji jukogyo kabushiki kaisha	720
742	nec corporation	721
743	accenture global services gmbh	722
744	daimlerchrysler ag	723
745	tvgateway,llc	724
746	lafarge road marking, inc.	725
747	facet technology corporation	726
748	polyone corporation	727
749	"11138037 ontari ltd. (""alirt"")"	728
750	ukn	729
751	matsushita electric industrial co., ltd.	730
752	ukn	731
753	ukn	732
754	iteris, inc.	733
755	daimler-benz ag	733
756	fuji jukogyo kabushiki kaisha	734
757	mobility technologies	735
758	ukn	736
759	ukn	737
760	facet technology corp.	738
761	ukn	739
762	microsoft corporation	740
763	kabushiki kaisha toshiba	741
764	gentex corporation	742
765	toyota jidosha kabushiki kaisha	743
766	ukn	744
767	ukn	745
768	boundary solutions, incorporated	746
769	ukn	747
770	nissan motor co., ltd.	748
771	hitachi, ltd.	749
772	ukn	750
773	kline & walker, llc	751
774	intelligent technologies international, inc.	752
775	robotic vision systems, inc.	753
776	ukn	754
777	facet technology, inc.	755
778	matsushita electric industrial co., ltd.	756
779	qinetiq limited	757
780	ukn	758
781	ukn	759
782	aerotech research (u.s.a.), inc.	760
783	ukn	761
784	ukn	762
785	hitachi, ltd,	763
786	matsushita electric industrial co., ltd.	764
787	international business machines corporation	765
788	sumitomo electric industries, ltd.	766
789	hitachi, ltd.	767
790	volkswagen ag	768
791	daimler-benz ag	769
792	nissan motor co., ltd.	770
793	sarnoff corporation	771
794	medar, inc.	772
795	pirelli coordinamento pneumatici s.p.a.	773
796	daimler-benz aerospace ag	774
797	medar, inc.	775
798	kabushiki kaisha toshiba	776
799	xerox corporation	777
800	matsushita electric industrial co., ltd.	778
801	international business machines corporation	779
802	association pour la recherche et le development des methodes et processus industriels (armines)	780
803	d.v.p. technologies ltd.	781
804	research development foundation	782
805	sumitomo electric industries, ltd.	783
806	honda giken kogyo kabushiki kaisha	784
807	honda giken kogyo kabushiki kaisha	785
808	motorola, inc.	786
809	honda giken kogyo kabushiki kaisha	787
810	ecrm	788
811	science applications international corporation	789
812	benoit ricard	790
813	volkswagen ag	791
814	larry golden	792
815	siliconfile technologies inc.	793
816	eltics ltd	794
817	the boeing company	795
818	lutron electronics co., inc.	796
819	the united states of america, as represented by the secretary of the air force	797
820	the hunter safety system, inc.	798
821	guangzhou sat infrared technology co. ltd.	799
822	fluke corporation	800
823	volkswagen ag	801
824	pradeep ramdeo	802
825	hyundai motor company	803
826	seng toh goh	804
827	seng kiat goh	804
828	seung kuk choi	805
829	myung wha nam	805
830	mobileye technologies limited	806
831	xenonics holdings, inc.	807
832	qualstar corporation	808
833	the boeing company	809
834	ukn	810
835	university of florida research foundation inc.	811
836	university of florida research foundation inc.	811
837	university of florida research foundation, inc.	812
838	kabushiki kaisha toshiba	813
839	koninklijke philips electronics n.v.	814
840	ukn	815
841	hitachi automotive systems, ltd.	816
842	the seaberg company, inc.	817
843	diehl bgt defence gmbh & co. kg	818
844	united states of america, as represented by the secretary of the army	819
845	dialog semiconductor gmbh	820
846	eltics ltd.	821
847	ukn	822
848	ukn	823
849	ukn	824
850	ukn	825
851	ukn	826
852	phokus research group, llc	827
853	ukn	828
854	dialog semiconductor gmbh	829
855	arlo, incorporated	830
856	abl ip holding llc	831
857	ukn	832
858	ukn	833
859	university of florida research foundation, inc.	834
860	l-3 insight technology incorporated	835
861	fluke corporation	836
862	omnitech partners	837
863	ukn	838
864	ukn	839
865	l-3 insight technology incorporated	840
866	eltics ltd	841
867	graco children's products inc.	842
868	phokus research group, llc	843
869	lutron electronics co., inc.	844
870	ukn	845
871	l-3 insight technology incorporated	846
872	hon hai precision industry co., ltd.	847
873	diehl bgt defence gmbh & co. kg	848
874	eltics ltd	849
875	koninklijke philips electronics n.v.	850
876	ukn	851
877	qinetiq limited	852
878	ukn	853
879	ukn	854
880	advanced optical technologies, llc	855
881	ukn	856
882	ukn	857
883	northrop grumman corporation	858
884	bushnell inc.	859
885	advanced optical technologies, llc	860
886	schlumberger technology corporation	861
887	ukn	862
888	ukn	863
889	ukn	864
890	ukn	865
891	ukn	866
892	ukn	867
893	yazaki corportion	868
894	ukn	869
895	ukn	870
896	flir systems, inc.	871
897	omnitech partners	872
898	lumitex, inc.	873
899	itt manufacturing enterprises, inc.	874
900	itt manufacturing enterprises, inc.	875
901	ukn	876
902	northrop grumman corporation	877
903	hitachi, ltd.	878
904	ukn	879
905	ukn	880
906	ukn	881
907	hitachi, ltd.	882
908	ukn	883
909	advanced optical technologies, llc	884
910	flir systems, inc.	885
911	ukn	886
912	ukn	887
913	ukn	888
914	ukn	889
915	ukn	890
916	omnitech partners	891
917	litton systems, inc.	892
918	ukn	893
919	nissan motor co., ltd.	894
920	hon hai precision industry co., ltd.	895
921	bayerische motoren werke	896
922	ukn	897
923	ukn	898
924	the watt stopper, inc.	899
925	hitachi, ltd.	900
926	ford global technologies, llc	901
927	ukn	902
928	g-5 electronics	903
929	ukn	904
930	donnelly corporation	905
931	g-5 electronics	906
932	ukn	907
933	yazaki corporation	908
934	ukn	909
935	ukn	910
936	honeywell inc.	911
937	ukn	912
938	ukn	913
939	ford global technologies, inc.	914
940	ukn	915
941	flir systems, inc.	916
942	navteq b.v.	917
943	cale street	918
944	mark behar	918
945	sacha sprague	918
946	construction research & technology gmbh	919
947	robert w. greer	920
948	vagn k. askjaer	920
949	stoncor group, inc.	921
950	construction research & technology gmbh	922
951	kaj sørensen	923
952	asbjørn mejnertsen	923
953	jan harries hansen	923
954	hans ole nielsen	923
955	gm global technology operations llc	924
956	stoncor group, inc.	925
957	evonik roehm gmbh	926
958	immunolight, llc	927
959	ukn	928
960	teknotraffic, inc.	929
961	ukn	930
962	ukn	931
963	flint trading, inc.	932
964	rohm and haas company	933
965	natglow usa, inc.	934
966	clariant produkte (deutschland) gmbh	935
967	gm global technology operations, inc.	936
968	toda kogyo corporation	937
969	ukn	938
970	ukn	939
971	ukn	940
972	ukn	941
973	rohm and haas company	942
974	ukn	943
975	evonik roehm gmbh	944
976	sartomer technology company, inc.	945
977	prismo limited	946
978	ukn	947
979	4i ab	948
980	clariant produkte (deutschland) gmbh	949
981	ukn	950
982	digital site management, llc	951
983	ukn	952
984	ukn	953
985	ukn	954
986	delta dansk elektronik, lys & akustik	955
987	second sight medical products, inc.	956
988	toda kogyo corporation	957
989	toda kogyo corporation	958
990	ukn	959
991	sartomer technology, inc.	960
992	ukn	961
993	koninklijke philips electronics n.v.	962
994	ukn	963
995	second sight medical products, inc.	964
996	ukn	965
997	ukn	966
998	ukn	967
999	digital site management, llc	968
1000	ukn	969
1001	ukn	970
1002	ukn	971
1003	ukn	972
1004	ukn	973
1005	m-b companies, inc. of wisconsin	974
1006	roehm gmbh & co. kg	975
1007	ukn	976
1008	ukn	977
1009	ukn	978
1010	prismo limited	979
1011	ukn	980
1012	ukn	981
1013	ukn	982
1014	ukn	983
1015	ukn	984
1016	lafarge road marking, inc.	985
1017	rohm and haas company	986
1018	ukn	987
1019	ukn	988
1020	ukn	989
1021	ukn	990
1022	3m innovative properties company	991
1023	ukn	992
1024	lg electronics inc.	993
1025	ukn	994
1026	ukn	995
1027	ukn	996
1028	rohm and haas company	997
1029	ukn	998
1030	3m innovative properties company	999
1031	cleanosol ab	1000
1032	the united states of america as represented by the secretary of the army	1001
1033	northern star industries, inc.	1002
1034	david hansen	1003
1035	meyer products, llc	1004
1036	ukn	1005
1037	ukn	1006
1038	4front engineered solutions, inc.	1007
1039	ukn	1008
1040	ukn	1009
1041	koninklijke philips electronics n.v.	1010
1042	ukn	1011
1043	ukn	1012
1044	ukn	1013
1045	ukn	1014
1046	sno-way international, inc.	1015
1047	ukn	1016
1048	douglas dynamics, l.l.c.	1017
1049	brite-line industries, inc.	1018
1050	minnesota mining and manufacturing company	1019
1051	interplex solar corporation	1020
1052	ukn	1021
1053	ukn	1022
1054	ukn	1023
1055	minnesota mining and manufacturing co.	1024
1056	barrier systems, inc.	1025
1057	ukn	1026
1058	ukn	1027
1059	ukn	1028
1060	institut fur privatwirtschaft gschwend & stadler	1029
1061	ukn	1030
1062	kapsch trafficcom ag	1031
1063	northcone ab	1032
1064	international business machines corporation	1033
1065	carmen kotulla	1034
1066	avery dennison corporation	1035
1067	rolic invest s.ar.l.	1036
1068	wirtgen gmbh	1037
1069	bomag gmbh	1038
1070	sauer-danfoss inc.	1039
1071	joseph vogele ag	1040
1072	safe rack llc	1041
1073	joseph vogele ag	1042
1074	joseph vogele ag	1043
1075	ukn	1044
1076	ukn	1045
1077	g & g novenyvedelmi es kereskedelmi k ft.	1046
1078	safe rack llc	1047
1079	r. d. jones, stop experts, incorporated	1048
1080	ukn	1049
1081	ukn	1050
1082	resurfice corp.	1051
1083	astron fiamm safety s.p.a.	1052
1084	kumho electric, inc.	1053
1085	actma holcing b.v.	1054
1086	gomaco corporation	1055
1087	joseph voegele ag	1056
1088	led lane light inc.	1057
1089	ukn	1058
1090	institut national d'optique	1059
